,VDOT,1K,1M,3K,5K,8K,10K,10M,Half,Full
132,43.2,03:56,06:38,13:07,22:34,37:00,46:49,1:17:43,1:43:49,3:35:27
133,43.3,03:55,06:37,13:05,22:32,36:55,46:44,1:17:34,1:43:36,3:35:03
134,43.4,03:55,06:37,13:04,22:29,36:51,46:38,1:17:25,1:43:24,3:34:37
135,43.5,03:54,06:35,13:02,22:26,36:46,46:33,1:17:16,1:43:12,3:34:13
136,43.6,03:54,06:35,13:01,22:23,36:42,46:27,1:17:07,1:43:00,3:33:49
137,43.7,03:53,06:34,12:59,22:21,36:38,46:22,1:16:58,1:42:47,3:33:24
138,43.8,03:53,06:33,12:58,22:19,36:34,46:16,1:16:49,1:42:35,3:33:00
139,43.9,03:52,06:32,12:56,22:16,36:30,46:11,1:16:39,1:42:24,3:32:35
140,44.0,03:52,06:32,12:54,22:13,36:25,46:06,1:16:30,1:42:11,3:32:11
141,44.1,03:52,06:31,12:53,22:11,36:21,46:00,1:16:21,1:42:00,3:31:48
142,44.2,03:51,06:30,12:51,22:08,36:17,45:55,1:16:13,1:41:47,3:31:24
143,44.3,03:51,06:30,12:50,22:06,36:13,45:50,1:16:04,1:41:35,3:31:00
144,44.4,03:50,06:28,12:48,22:03,36:08,45:45,1:15:55,1:41:24,3:30:35
145,44.5,03:50,06:28,12:47,22:01,36:04,45:39,1:15:46,1:41:12,3:30:12
146,44.6,03:49,06:27,12:45,21:58,36:00,45:34,1:15:37,1:41:00,3:29:49
147,44.7,03:49,06:26,12:44,21:55,35:56,45:28,1:15:28,1:40:49,3:29:25
148,44.8,03:48,06:25,12:42,21:53,35:52,45:23,1:15:19,1:40:37,3:29:02
149,44.9,03:48,06:25,12:41,21:51,35:47,45:18,1:15:11,1:40:25,3:28:39
150,45.0,03:47,06:24,12:39,21:48,35:44,45:13,1:15:02,1:40:14,3:28:15
151,45.1,03:47,06:23,12:38,21:46,35:40,45:08,1:14:54,1:40:02,3:27:52
152,45.2,03:46,06:22,12:36,21:43,35:36,45:02,1:14:45,1:39:50,3:27:29
153,45.3,03:46,06:22,12:35,21:41,35:31,44:58,1:14:37,1:39:39,3:27:06
154,45.4,03:46,06:21,12:34,21:38,35:28,44:52,1:14:28,1:39:28,3:26:43
155,45.5,03:45,06:20,12:32,21:36,35:23,44:47,1:14:19,1:39:17,3:26:20
156,45.6,03:45,06:19,12:31,21:33,35:20,44:43,1:14:11,1:39:05,3:25:58
157,45.7,03:45,06:19,12:29,21:31,35:16,44:37,1:14:02,1:38:54,3:25:35
158,45.8,03:44,06:18,12:28,21:28,35:12,44:32,1:13:54,1:38:43,3:25:13
159,45.9,03:43,06:17,12:26,21:26,35:08,44:28,1:13:46,1:38:32,3:24:50
160,46.0,03:43,06:16,12:25,21:23,35:04,44:22,1:13:38,1:38:21,3:24:28
161,46.1,03:43,06:16,12:24,21:22,35:00,44:17,1:13:30,1:38:10,3:24:05
162,46.2,03:42,06:15,12:22,21:19,34:56,44:13,1:13:21,1:37:59,3:23:43
163,46.3,03:42,06:14,12:20,21:17,34:52,44:08,1:13:13,1:37:48,3:23:22
164,46.4,03:42,06:13,12:19,21:15,34:49,44:03,1:13:05,1:37:37,3:23:00
165,46.5,03:41,06:13,12:18,21:12,34:45,43:58,1:12:57,1:37:26,3:22:38
166,46.6,03:40,06:12,12:16,21:10,34:41,43:53,1:12:49,1:37:15,3:22:16
167,46.7,03:40,06:12,12:15,21:07,34:37,43:48,1:12:40,1:37:04,3:21:54
168,46.8,03:40,06:10,12:14,21:05,34:33,43:43,1:12:32,1:36:54,3:21:33
169,46.9,03:39,06:10,12:12,21:03,34:30,43:38,1:12:24,1:36:43,3:21:11
170,47.0,03:39,06:09,12:11,21:01,34:26,43:34,1:12:16,1:36:32,3:20:49
171,47.1,03:38,06:09,12:10,20:58,34:22,43:29,1:12:09,1:36:22,3:20:28
172,47.2,03:38,06:08,12:09,20:56,34:18,43:25,1:12:01,1:36:11,3:20:07
173,47.3,03:38,06:07,12:07,20:53,34:15,43:20,1:11:52,1:36:01,3:19:45
174,47.4,03:37,06:06,12:05,20:51,34:11,43:15,1:11:45,1:35:50,3:19:24
175,47.5,03:37,06:05,12:04,20:49,34:07,43:10,1:11:37,1:35:40,3:19:03
176,47.6,03:37,06:05,12:03,20:47,34:04,43:06,1:11:29,1:35:30,3:18:42
177,47.7,03:36,06:04,12:01,20:45,34:00,43:01,1:11:21,1:35:19,3:18:21
178,47.8,03:36,06:04,12:00,20:43,33:57,42:57,1:11:13,1:35:09,3:18:00
179,47.9,03:36,06:03,11:59,20:40,33:53,42:52,1:11:06,1:34:58,3:17:39
180,48.0,03:35,06:02,11:58,20:38,33:49,42:47,1:10:58,1:34:48,3:17:19
181,48.1,03:34,06:02,11:56,20:36,33:46,42:43,1:10:50,1:34:38,3:16:58
182,48.2,03:34,06:01,11:55,20:34,33:42,42:38,1:10:43,1:34:28,3:16:37
183,48.3,03:34,06:00,11:54,20:31,33:38,42:34,1:10:35,1:34:17,3:16:17
184,48.4,03:33,06:00,11:52,20:30,33:35,42:29,1:10:28,1:34:07,3:15:56
185,48.5,03:33,05:59,11:51,20:27,33:31,42:25,1:10:20,1:33:57,3:15:36
186,48.6,03:32,05:58,11:50,20:25,33:28,42:20,1:10:13,1:33:47,3:15:16
187,48.7,03:32,05:58,11:49,20:23,33:24,42:16,1:10:05,1:33:37,3:14:55
188,48.8,03:32,05:57,11:48,20:21,33:21,42:11,1:09:58,1:33:27,3:14:35
189,48.9,03:31,05:57,11:46,20:19,33:17,42:07,1:09:50,1:33:17,3:14:15
190,49.0,03:31,05:56,11:45,20:16,33:14,42:02,1:09:43,1:33:07,3:13:55
191,49.1,03:31,05:55,11:43,20:15,33:10,41:58,1:09:35,1:32:58,3:13:35
192,49.2,03:30,05:54,11:42,20:12,33:07,41:53,1:09:28,1:32:48,3:13:16
193,49.3,03:30,05:54,11:41,20:10,33:03,41:49,1:09:21,1:32:38,3:12:56
194,49.4,03:30,05:53,11:40,20:08,33:00,41:45,1:09:14,1:32:28,3:12:36
195,49.5,03:29,05:52,11:39,20:06,32:57,41:40,1:09:07,1:32:19,3:12:16
196,49.6,03:29,05:52,11:37,20:04,32:53,41:36,1:08:59,1:32:09,3:11:57
197,49.7,03:28,05:51,11:36,20:02,32:50,41:32,1:08:52,1:32:00,3:11:37
198,49.8,03:28,05:50,11:35,20:00,32:46,41:28,1:08:45,1:31:50,3:11:18
199,49.9,03:28,05:50,11:34,19:58,32:43,41:23,1:08:38,1:31:40,3:10:58
200,50.0,03:27,05:49,11:33,19:55,32:40,41:19,1:08:31,1:31:31,3:10:39
201,50.1,03:27,05:49,11:31,19:53,32:36,41:15,1:08:24,1:31:21,3:10:20
202,50.2,03:27,05:48,11:30,19:52,32:33,41:11,1:08:16,1:31:12,3:10:01
203,50.3,03:26,05:47,11:29,19:49,32:30,41:07,1:08:09,1:31:02,3:09:41
204,50.4,03:26,05:47,11:28,19:48,32:27,41:02,1:08:02,1:30:53,3:09:23
205,50.5,03:25,05:46,11:26,19:45,32:23,40:58,1:07:55,1:30:44,3:09:04
206,50.6,03:25,05:46,11:25,19:43,32:20,40:54,1:07:48,1:30:34,3:08:45
207,50.7,03:25,05:45,11:24,19:41,32:17,40:50,1:07:42,1:30:25,3:08:26
208,50.8,03:24,05:45,11:23,19:39,32:13,40:46,1:07:34,1:30:16,3:08:07
209,50.9,03:24,05:44,11:22,19:37,32:10,40:42,1:07:28,1:30:07,3:07:49
210,51.0,03:23,05:43,11:20,19:36,32:07,40:37,1:07:20,1:29:57,3:07:30
211,51.1,03:23,05:43,11:19,19:34,32:04,40:33,1:07:14,1:29:48,3:07:11
212,51.2,03:23,05:42,11:18,19:31,32:01,40:30,1:07:07,1:29:39,3:06:53
213,51.3,03:22,05:42,11:17,19:30,31:57,40:25,1:07:00,1:29:30,3:06:34
214,51.4,03:22,05:41,11:16,19:28,31:54,40:21,1:06:54,1:29:21,3:06:16
215,51.5,03:22,05:40,11:15,19:26,31:51,40:17,1:06:47,1:29:12,3:05:58
216,51.6,03:22,05:40,11:13,19:23,31:48,40:13,1:06:40,1:29:03,3:05:40
217,51.7,03:21,05:39,11:12,19:22,31:45,40:09,1:06:33,1:28:54,3:05:21
218,51.8,03:21,05:39,11:11,19:20,31:41,40:06,1:06:27,1:28:45,3:05:03
219,51.9,03:21,05:38,11:10,19:18,31:38,40:01,1:06:20,1:28:36,3:04:45
220,52.0,03:20,05:37,11:09,19:16,31:36,39:57,1:06:13,1:28:27,3:04:27
221,52.1,03:20,05:37,11:08,19:14,31:32,39:53,1:06:07,1:28:19,3:04:09
222,52.2,03:19,05:36,11:07,19:12,31:29,39:49,1:06:00,1:28:10,3:03:51
223,52.3,03:19,05:35,11:05,19:10,31:26,39:46,1:05:54,1:28:01,3:03:34
224,52.4,03:19,05:35,11:04,19:08,31:23,39:42,1:05:47,1:27:52,3:03:16
225,52.5,03:19,05:34,11:03,19:07,31:20,39:38,1:05:41,1:27:43,3:02:58
226,52.6,03:18,05:34,11:02,19:05,31:17,39:34,1:05:34,1:27:35,3:02:40
227,52.7,03:18,05:33,11:01,19:03,31:14,39:30,1:05:28,1:27:27,3:02:23
228,52.8,03:17,05:32,11:00,19:01,31:11,39:26,1:05:21,1:27:17,3:02:05
229,52.9,03:17,05:32,10:59,18:59,31:08,39:22,1:05:15,1:27:09,3:01:48
230,53.0,03:17,05:31,10:58,18:57,31:05,39:19,1:05:09,1:27:01,3:01:31
231,53.1,03:16,05:31,10:56,18:55,31:02,39:15,1:05:02,1:26:52,3:01:13
232,53.2,03:16,05:31,10:55,18:53,30:59,39:11,1:04:56,1:26:43,3:00:56
233,53.3,03:16,05:30,10:54,18:52,30:56,39:07,1:04:49,1:26:35,3:00:39
234,53.4,03:16,05:30,10:54,18:50,30:53,39:04,1:04:43,1:26:27,3:00:22
235,53.5,03:15,05:29,10:52,18:48,30:50,39:00,1:04:37,1:26:18,3:00:04
236,53.6,03:15,05:28,10:51,18:46,30:47,38:56,1:04:31,1:26:10,2:59:48
237,53.7,03:15,05:28,10:50,18:45,30:44,38:52,1:04:25,1:26:01,2:59:30
238,53.8,03:15,05:27,10:49,18:43,30:41,38:49,1:04:18,1:25:53,2:59:13
239,53.9,03:14,05:27,10:48,18:41,30:38,38:45,1:04:12,1:25:45,2:58:56
240,54.0,03:14,05:26,10:47,18:39,30:36,38:41,1:04:06,1:25:37,2:58:40
241,54.1,03:13,05:25,10:46,18:37,30:33,38:37,1:04:00,1:25:28,2:58:23
242,54.2,03:13,05:25,10:45,18:36,30:30,38:34,1:03:53,1:25:20,2:58:06
243,54.3,03:13,05:25,10:44,18:34,30:26,38:30,1:03:47,1:25:12,2:57:49
244,54.4,03:13,05:24,10:43,18:32,30:24,38:27,1:03:42,1:25:04,2:57:33
